id,user,uid,version,changeset,timestamp
268403847,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:42Z
268403851,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:42Z
268403855,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:43Z
268403859,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:43Z
268403863,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:43Z
268403867,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:44Z
268403871,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:44Z
268403875,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:45Z
268403879,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:45Z
268403883,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:45Z
268403887,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:45Z
268403891,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:46Z
268403895,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:46Z
268403900,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:46Z
268403904,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:46Z
268403909,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:47Z
268403913,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:47Z
268403917,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:47Z
268403921,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:47Z
268403925,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:47Z
268403929,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:48Z
268403933,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:48Z
268403937,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:48Z
268403941,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:49Z
268403946,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:49Z
268403950,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:49Z
268403954,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:50Z
268404859,Saikrishna_FultonCountyImport,1981121,1,21270235,2014-03-23T18:26:45Z
268404865,Saikrishna_FultonCountyImport,1981121,1,21270235,2014-03-23T18:26:46Z
268404869,Saikrishna_FultonCountyImport,1981121,1,21270235,2014-03-23T18:26:46Z
268405172,Saikrishna_FultonCountyImport,1981121,1,21270235,2014-03-23T18:27:20Z
268405276,Saikrishna_FultonCountyImport,1981121,1,21270235,2014-03-23T18:27:28Z
268405295,Saikrishna_FultonCountyImport,1981121,1,21270235,2014-03-23T18:27:29Z
268511793,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:46Z
268511797,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:46Z
